station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
Bhumbhali,21.67944444,72.24416667,0.009,0.003,0.07,0.01,0.001,0.024,1.218,2.223,0.377,0.191,0.016,0.204,0.008,0.003,0.836,0.048,0.01
Ghogha,21.68138889,72.27694444,0.014,0.003,0.011,0.012,0.002,0.028,1.244,1.256,0.209,0.175,0.03,0.235,0.013,0.002,0.859,0.03,0.01
Kuchhadi,21.68333333,69.55,0.008,0.004,0.045,0.017,0.001,0.011,0.885,3.328,0.166,0.14,0.064,0.145,0.012,0.006,0.504,0.034,0.01
Ranavav2,21.68333333,69.74583333,0.013,0.002,0.037,0.018,0.001,0.028,0.81,4.696,0.238,0.071,0.046,0.1,0.009,0.005,0.608,0.045,0.01
Ghogha1,21.68333333,72.27916667,0.015,0.003,0.043,0.018,0.001,0.014,1.22,1.312,0.124,0.14,0.053,0.129,0.011,0.002,0.822,0.046,0.01
Mahegam1,21.68333333,72.75833333,0.007,0.003,0.022,0.018,0.002,0.02,1.882,2.72,0.374,0.2,0.036,0.154,0.016,0.003,0.6,0.012,0.01
Kaswa,21.68333333,72.81666667,0.013,0.001,0.059,0.01,0.001,0.02,0.835,4.082,0.255,0.199,0.013,0.269,0.012,0.005,0.541,0.056,0.01
Mulad,21.68333333,73.01944444,0.017,0.005,0.02,0.015,0.002,0.022,0.675,3.285,0.159,0.117,0.069,0.154,0.015,0.004,0.509,0.037,0.01
Sandhida,21.6875,71.75833333,0.016,0.001,0.059,0.014,0.002,0.024,0.786,1.387,0.196,0.092,0.019,0.155,0.013,0.006,0.535,0.042,0.01
Mungaj,21.68833333,73.38388889,0.007,0.002,0.046,0.016,0.001,0.022,1.553,2.396,0.26,0.078,0.028,0.12,0.018,0.006,0.535,0.048,0.01
Bhudel,21.69166667,72.15833333,0.006,0.003,0.01,0.007,0.002,0.022,1.992,2.064,0.242,0.148,0.048,0.271,0.013,0.005,0.68,0.036,0.01
Kolikhada,21.69972222,69.61416667,0.019,0.002,0.027,0.017,0.001,0.018,1.954,1.609,0.277,0.051,0.023,0.138,0.014,0.002,0.573,0.013,0.01
Bharuch,21.7,73.00416667,0.008,0.004,0.014,0.017,0.001,0.015,1.359,3.018,0.383,0.191,0.035,0.383,0.01,0.004,0.562,0.018,0.01
Navetha,21.70777778,72.83055556,0.009,0.005,0.066,0.009,0.001,0.023,0.592,3.187,0.294,0.1,0.063,0.146,0.006,0.006,0.558,0.039,0.01
Adityana,21.70861111,69.71083333,0.006,0.004,0.033,0.013,0.002,0.012,0.617,3.715,0.483,0.092,0.064,0.226,0.02,0.003,0.888,0.035,0.01
Degam,21.71027778,69.60555556,0.009,0.003,0.045,0.015,0.001,0.012,0.689,4.1,0.453,0.06,0.024,0.329,0.018,0.003,0.931,0.037,0.01
Ambala,21.71111111,71.84166667,0.007,0.001,0.065,0.01,0.001,0.018,1.662,4.743,0.367,0.161,0.031,0.222,0.007,0.004,0.621,0.063,0.01
Ratadi,21.72027778,69.51194444,0.014,0.004,0.029,0.013,0.002,0.024,0.701,2.314,0.422,0.066,0.045,0.288,0.01,0.001,0.885,0.058,0.01
Lathi,21.72083333,71.38333333,0.008,0.004,0.016,0.018,0.001,0.026,1.222,2.042,0.17,0.144,0.035,0.353,0.014,0.005,0.596,0.019,0.01
Tajpur,21.725,71.46666667,0.008,0.003,0.069,0.012,0.001,0.027,1.066,1.704,0.154,0.175,0.022,0.31,0.015,0.002,0.772,0.055,0.01
Bhensli,21.725,72.75,0.014,0.002,0.041,0.013,0.002,0.018,0.935,4.026,0.404,0.135,0.028,0.141,0.018,0.003,0.621,0.037,0.01
Khota amba,21.73333333,73.475,0.015,0.004,0.031,0.013,0.001,0.027,0.627,4.405,0.291,0.097,0.011,0.136,0.009,0.002,0.859,0.027,0.01
Motagundala,21.73472222,70.50138889,0.007,0.004,0.046,0.018,0.002,0.012,0.548,1.459,0.15,0.102,0.013,0.215,0.007,0.005,0.689,0.021,0.01
Simodra,21.74166667,73.20833333,0.017,0.002,0.069,0.008,0.001,0.027,1.939,1.27,0.464,0.103,0.063,0.363,0.008,0.002,0.574,0.025,0.01
Bhutia,21.74722222,71.7,0.008,0.003,0.078,0.006,0.001,0.01,1.425,1.556,0.341,0.195,0.022,0.219,0.008,0.005,0.87,0.024,0.01
Upleta1,21.74861111,70.275,0.009,0.002,0.067,0.007,0.001,0.016,1.726,4.127,0.268,0.088,0.042,0.308,0.006,0.002,0.658,0.018,0.01
Pedhla,21.75138889,70.59166667,0.011,0.001,0.079,0.009,0.002,0.012,1.501,3.377,0.213,0.065,0.015,0.18,0.011,0.001,0.834,0.017,0.01
Palkhada1,21.75833333,69.4875,0.016,0.003,0.076,0.014,0.001,0.012,1.53,2.646,0.116,0.162,0.035,0.151,0.012,0.002,0.597,0.052,0.01
Bakharla,21.76472222,69.66111111,0.01,0.003,0.078,0.017,0.001,0.018,1.992,1.47,0.154,0.164,0.051,0.398,0.007,0.003,0.738,0.016,0.01
Bhavnagar1,21.76666667,72.15,0.01,0.003,0.066,0.011,0.002,0.016,1.238,1.51,0.407,0.172,0.047,0.259,0.014,0.001,0.928,0.07,0.01
Babda,21.77,69.58805556,0.018,0.003,0.017,0.01,0.001,0.025,1.47,1.524,0.307,0.164,0.063,0.324,0.006,0.004,0.996,0.03,0.01
Jetpur pithad.,21.775,70.63333333,0.007,0.001,0.048,0.013,0.001,0.027,1.297,3.938,0.206,0.177,0.017,0.133,0.02,0.006,0.974,0.027,0.01
Visavada Mul Dwarka,21.78555556,69.44638889,0.017,0.002,0.023,0.018,0.001,0.02,0.914,2.647,0.167,0.074,0.055,0.225,0.01,0.005,0.846,0.021,0.01
Nirnavi,21.79166667,72.66805556,0.018,0.004,0.015,0.017,0.001,0.018,1.938,2.307,0.304,0.092,0.067,0.36,0.015,0.001,0.72,0.052,0.01
Hanumangadh1,21.79305556,69.80277778,0.009,0.004,0.032,0.014,0.001,0.012,0.568,2.767,0.197,0.064,0.048,0.269,0.008,0.003,0.605,0.032,0.01
Dhasa,21.8,71.50833333,0.02,0.004,0.061,0.018,0.001,0.017,0.601,1.678,0.148,0.19,0.047,0.346,0.011,0.002,0.887,0.044,0.01
Jalia,21.8,71.61666667,0.011,0.002,0.017,0.009,0.001,0.011,0.916,2.896,0.287,0.176,0.059,0.216,0.007,0.005,0.595,0.052,0.01
Porbada,21.8,71.7,0.017,0.002,0.044,0.011,0.001,0.019,1.902,1.15,0.194,0.193,0.06,0.107,0.015,0.001,0.882,0.045,0.01
Khambodar,21.80833333,69.60138889,0.013,0.002,0.028,0.01,0.001,0.023,0.923,1.928,0.213,0.124,0.058,0.319,0.016,0.005,0.88,0.033,0.01
Bhavpura,21.80972222,69.40833333,0.016,0.004,0.021,0.018,0.001,0.019,1.767,2.682,0.133,0.147,0.02,0.311,0.011,0.001,0.629,0.061,0.01
Chavand,21.81666667,71.4125,0.005,0.003,0.063,0.012,0.001,0.014,0.774,4.486,0.279,0.147,0.023,0.354,0.018,0.003,0.759,0.048,0.01
Devaliya,21.82083333,71.10833333,0.02,0.003,0.027,0.02,0.001,0.025,1.254,2.092,0.42,0.159,0.011,0.312,0.005,0.002,0.603,0.064,0.01
Timbi2,21.83166667,71.76611111,0.005,0.001,0.043,0.019,0.001,0.027,1.345,3.589,0.107,0.075,0.053,0.391,0.02,0.002,0.808,0.014,0.01
Miyani,21.83333333,69.38888889,0.015,0.001,0.038,0.011,0.002,0.013,1.605,1.302,0.221,0.199,0.062,0.38,0.014,0.005,0.554,0.039,0.01
Ringani,21.84166667,73.46666667,0.017,0.001,0.031,0.015,0.001,0.026,0.824,4.776,0.125,0.062,0.05,0.386,0.013,0.001,0.745,0.019,0.01
Umrala,21.84722222,71.80833333,0.017,0.002,0.04,0.012,0.001,0.021,1.53,1.63,0.221,0.159,0.015,0.26,0.005,0.004,0.8,0.031,0.01
Sunderpura,21.84722222,73.53611111,0.008,0.002,0.07,0.013,0.001,0.011,1.952,3.914,0.465,0.09,0.011,0.221,0.01,0.002,0.925,0.05,0.01
Virpur1,21.85,70.69583333,0.017,0.004,0.041,0.013,0.001,0.019,1.111,2.469,0.413,0.128,0.021,0.218,0.02,0.005,0.691,0.022,0.01
Modpar,21.85833333,69.80833333,0.005,0.005,0.063,0.005,0.002,0.019,1.79,1.339,0.48,0.061,0.028,0.332,0.016,0.005,0.853,0.035,0.01
Hirapura,21.86805556,73.6,0.019,0.002,0.01,0.007,0.001,0.015,1.758,3.331,0.237,0.094,0.012,0.233,0.01,0.006,0.979,0.018,0.01
Vallbhipur,21.88333333,71.875,0.006,0.002,0.058,0.02,0.001,0.02,1.574,1.751,0.336,0.116,0.024,0.206,0.01,0.003,0.846,0.041,0.01
Mojiwana,21.88583333,69.60027778,0.005,0.002,0.019,0.012,0.001,0.016,1.015,2.999,0.423,0.186,0.049,0.122,0.009,0.004,0.594,0.052,0.01
Jasapur,21.89166667,70.48333333,0.009,0.004,0.016,0.006,0.002,0.012,0.868,2.978,0.343,0.054,0.022,0.386,0.009,0.002,0.666,0.067,0.01
Garudeshwar,21.89166667,73.65,0.012,0.002,0.07,0.015,0.001,0.017,0.721,1.316,0.494,0.199,0.011,0.279,0.009,0.005,0.725,0.064,0.01
Lambha 1,21.89888889,69.32361111,0.014,0.001,0.08,0.008,0.001,0.017,1.695,4.154,0.106,0.147,0.039,0.313,0.012,0.005,0.883,0.056,0.01
Balwa,21.90416667,69.95833333,0.015,0.003,0.018,0.017,0.002,0.022,0.801,1.547,0.141,0.139,0.069,0.172,0.015,0.002,0.588,0.053,0.01
Mota kalawad,21.90833333,69.82916667,0.017,0.002,0.039,0.019,0.002,0.026,1.87,1.372,0.497,0.177,0.04,0.248,0.009,0.007,0.706,0.014,0.01
Sinor,21.9125,73.34166667,0.007,0.002,0.055,0.02,0.002,0.026,1.522,4.642,0.109,0.184,0.067,0.356,0.014,0.005,0.71,0.067,0.01
Ambardi,21.91638889,69.85805556,0.013,0.003,0.057,0.005,0.001,0.028,1.275,3.052,0.331,0.156,0.018,0.309,0.018,0.006,0.725,0.043,0.01
Adwana2,21.91666667,69.6,0.007,0.001,0.034,0.005,0.002,0.021,1.947,2.085,0.205,0.069,0.022,0.155,0.019,0.005,0.527,0.066,0.01
Chordi,21.91666667,70.74861111,0.016,0.003,0.021,0.014,0.002,0.026,1.132,4.477,0.401,0.12,0.032,0.291,0.017,0.004,0.749,0.067,0.01
Untvad,21.91666667,71.21666667,0.015,0.002,0.074,0.01,0.002,0.015,1.003,3.44,0.347,0.163,0.062,0.17,0.014,0.005,0.655,0.026,0.01
Roja tankaria,21.91666667,72.79166667,0.007,0.004,0.068,0.009,0.001,0.027,0.949,1.565,0.23,0.168,0.014,0.309,0.012,0.002,0.729,0.047,0.01
Umrali,21.91944444,70.60416667,0.019,0.002,0.057,0.006,0.001,0.025,0.826,3.131,0.26,0.193,0.057,0.135,0.02,0.004,0.583,0.045,0.01
Rasela,21.925,73.49166667,0.016,0.004,0.056,0.019,0.001,0.026,1.893,3.114,0.41,0.068,0.046,0.285,0.013,0.003,0.697,0.044,0.01
Bhanvad,21.92777778,69.79583333,0.02,0.003,0.055,0.018,0.001,0.022,1.801,3.322,0.217,0.076,0.063,0.109,0.019,0.007,0.823,0.049,0.01
Raval,21.92972222,69.49194444,0.011,0.001,0.046,0.019,0.002,0.011,1.971,3.529,0.249,0.065,0.01,0.375,0.006,0.004,0.922,0.019,0.01
Jamwali,21.93333333,70.76666667,0.006,0.004,0.025,0.008,0.002,0.025,1.716,3.417,0.388,0.177,0.01,0.321,0.006,0.005,0.635,0.048,0.01
Simar,21.94694444,69.68583333,0.017,0.002,0.072,0.01,0.001,0.018,1.028,1.161,0.447,0.161,0.046,0.239,0.02,0.004,0.796,0.056,0.01
Drafa,21.95833333,70.075,0.008,0.002,0.076,0.018,0.001,0.019,1.899,4.558,0.413,0.136,0.034,0.132,0.01,0.002,0.754,0.055,0.01
Kotadapitha,21.95833333,71.20416667,0.02,0.005,0.071,0.013,0.001,0.018,0.517,1.981,0.289,0.077,0.023,0.326,0.013,0.002,0.796,0.065,0.01
Ayodhayapuram,21.96027778,71.88638889,0.008,0.004,0.073,0.011,0.001,0.017,1.681,4.467,0.378,0.083,0.02,0.151,0.015,0.004,0.644,0.022,0.01
Gogavadar,21.96666667,70.875,0.012,0.004,0.073,0.015,0.001,0.021,1.425,2.33,0.145,0.196,0.062,0.192,0.007,0.002,0.889,0.034,0.01
Gadhada2,21.96666667,71.57916667,0.02,0.001,0.013,0.02,0.002,0.01,1.128,3.993,0.426,0.053,0.034,0.361,0.005,0.005,0.993,0.067,0.01
Hadmadiya,21.97805556,70.62305556,0.018,0.002,0.059,0.019,0.001,0.028,0.676,3.546,0.393,0.071,0.02,0.356,0.008,0.002,0.73,0.046,0.01
Khirsara,21.97916667,69.6,0.007,0.004,0.037,0.01,0.002,0.02,1.526,1.874,0.158,0.165,0.06,0.195,0.017,0.001,0.767,0.05,0.01
Kaprali,21.97916667,73.94166667,0.006,0.002,0.04,0.009,0.001,0.024,1.726,4.736,0.436,0.188,0.045,0.338,0.02,0.003,0.526,0.012,0.01
Bhogat1,21.99166667,69.24583333,0.018,0.003,0.042,0.016,0.002,0.025,1.446,4.865,0.124,0.079,0.02,0.392,0.019,0.001,0.54,0.015,0.01
Tankari,21.99166667,72.675,0.015,0.005,0.062,0.02,0.002,0.019,0.925,1.864,0.256,0.189,0.035,0.362,0.011,0.003,0.502,0.066,0.01
Mota Dadwa,21.99833333,70.99388889,0.009,0.004,0.049,0.012,0.001,0.024,1.06,3.04,0.494,0.187,0.029,0.226,0.012,0.005,0.857,0.042,0.01
Moti chikhali,22.01111111,74.08333333,0.005,0.002,0.048,0.013,0.001,0.028,1.968,1.091,0.42,0.102,0.064,0.206,0.005,0.002,0.662,0.024,0.01
Kalyanpur2,22.01666667,69.39166667,0.019,0.002,0.05,0.014,0.001,0.01,1.559,3.843,0.154,0.088,0.036,0.321,0.008,0.007,0.954,0.035,0.01
Ningala,22.01805556,71.7,0.015,0.002,0.045,0.008,0.002,0.019,1.698,4.882,0.425,0.19,0.02,0.284,0.012,0.002,0.766,0.047,0.01
Manapur,22.01888889,69.88388889,0.011,0.004,0.031,0.007,0.002,0.016,1.623,3.078,0.111,0.151,0.019,0.247,0.013,0.002,0.594,0.065,0.01
Kalithad1,22.01944444,70.66027778,0.013,0.004,0.012,0.009,0.001,0.015,1.723,1.988,0.229,0.139,0.069,0.304,0.006,0.002,0.664,0.034,0.01
Viranagar,22.025,71.125,0.016,0.005,0.049,0.018,0.002,0.017,0.693,4.345,0.214,0.101,0.062,0.186,0.011,0.003,0.761,0.021,0.01
Sindhav,22.02694444,72.63611111,0.01,0.003,0.078,0.012,0.002,0.027,1.462,1.8,0.484,0.056,0.045,0.132,0.016,0.004,0.838,0.034,0.01
Seth vadala,22.03333333,70.125,0.013,0.003,0.042,0.012,0.002,0.012,1.033,4.752,0.351,0.134,0.031,0.167,0.006,0.001,0.779,0.011,0.01
Motagop,22.0375,69.875,0.013,0.004,0.047,0.019,0.001,0.014,0.704,4.583,0.327,0.06,0.042,0.279,0.008,0.004,0.678,0.064,0.01
Sengpur,22.0375,73.8875,0.006,0.004,0.077,0.008,0.001,0.012,1.644,4.674,0.262,0.099,0.061,0.393,0.019,0.003,0.536,0.03,0.01
Jasdan,22.04444444,71.21388889,0.012,0.003,0.029,0.012,0.001,0.011,0.578,2.773,0.461,0.064,0.042,0.256,0.009,0.007,0.725,0.067,0.01
Namaria,22.04444444,73.62222222,0.009,0.002,0.055,0.014,0.002,0.013,1.804,3.23,0.172,0.186,0.052,0.102,0.019,0.005,0.979,0.05,0.01
Jambusar1,22.05,72.8,0.012,0.002,0.029,0.015,0.001,0.029,0.797,2.382,0.214,0.2,0.061,0.364,0.008,0.004,0.722,0.04,0.01
Jambusar2,22.05,72.8,0.017,0.001,0.074,0.02,0.001,0.023,1.646,4.995,0.475,0.087,0.031,0.209,0.006,0.003,0.832,0.055,0.01
Jasdan2,22.05833333,71.22083333,0.01,0.002,0.036,0.013,0.001,0.019,1.279,3.2,0.296,0.059,0.022,0.363,0.018,0.003,0.807,0.053,0.01
Tatam,22.05833333,71.63333333,0.006,0.002,0.019,0.015,0.001,0.021,1.788,3.911,0.133,0.169,0.042,0.319,0.016,0.007,0.743,0.032,0.01
Bhadkodra,22.05833333,72.59166667,0.011,0.004,0.048,0.008,0.001,0.018,1.16,4.932,0.168,0.135,0.044,0.334,0.019,0.004,0.76,0.039,0.01
Saidivasana,22.05833333,74.01666667,0.019,0.004,0.031,0.006,0.002,0.011,1.257,2.324,0.133,0.091,0.063,0.303,0.013,0.006,0.671,0.022,0.01
Toda,22.0625,70.38333333,0.008,0.001,0.054,0.008,0.002,0.024,0.526,2.887,0.318,0.195,0.025,0.369,0.014,0.004,0.824,0.013,0.01
Vagudan,22.06666667,74.14166667,0.012,0.002,0.062,0.014,0.001,0.019,0.833,1.975,0.152,0.086,0.062,0.339,0.009,0.002,0.975,0.057,0.01
Waghach,22.07083333,73.85,0.009,0.003,0.069,0.012,0.001,0.011,0.773,4.291,0.484,0.192,0.05,0.368,0.017,0.004,0.793,0.039,0.01
Panvi,22.07222222,71.88888889,0.009,0.004,0.073,0.016,0.001,0.013,1.968,4.576,0.164,0.164,0.065,0.161,0.014,0.002,0.764,0.019,0.01
Panvi1,22.075,71.89166667,0.011,0.001,0.017,0.009,0.002,0.018,1.185,1.294,0.209,0.067,0.011,0.315,0.018,0.005,0.699,0.033,0.01
Bhadthar,22.07916667,69.57916667,0.008,0.001,0.058,0.009,0.002,0.026,1.217,4.432,0.158,0.174,0.04,0.276,0.015,0.003,0.753,0.054,0.01
Bhatia,22.09166667,69.30138889,0.017,0.003,0.059,0.007,0.002,0.016,1.643,4.036,0.338,0.102,0.014,0.365,0.005,0.005,0.53,0.023,0.01
Dadia,22.09166667,70.73333333,0.012,0.004,0.052,0.011,0.001,0.021,0.743,2.586,0.358,0.099,0.034,0.108,0.009,0.005,0.552,0.066,0.01
Halenda,22.09166667,71.05,0.018,0.004,0.046,0.017,0.001,0.03,1.857,2.58,0.319,0.137,0.053,0.348,0.013,0.007,0.543,0.021,0.01
Lonjdhara,22.09722222,71.89722222,0.018,0.002,0.024,0.014,0.001,0.02,0.703,3.544,0.168,0.141,0.063,0.111,0.011,0.003,0.982,0.038,0.01
Devat (thadgam),22.1,73.98333333,0.009,0.005,0.066,0.007,0.001,0.022,1.428,3.378,0.326,0.119,0.061,0.352,0.014,0.005,0.906,0.023,0.01
Sumana,22.10833333,70.16666667,0.019,0.003,0.072,0.016,0.001,0.027,1.47,1.858,0.21,0.087,0.03,0.201,0.016,0.004,0.959,0.065,0.01
Ribda,22.125,70.76666667,0.007,0.001,0.078,0.019,0.002,0.014,1.026,4.125,0.427,0.063,0.02,0.255,0.013,0.002,0.616,0.047,0.01
Chhindra,22.12666667,72.66972222,0.017,0.001,0.067,0.012,0.001,0.015,1.73,2.084,0.158,0.182,0.019,0.124,0.015,0.006,0.944,0.026,0.01
Lalavadar,22.13333333,71.30416667,0.005,0.002,0.034,0.011,0.001,0.026,1.442,1.329,0.132,0.122,0.045,0.154,0.013,0.006,0.502,0.035,0.01
Baladgam,22.1375,74.00833333,0.016,0.004,0.069,0.011,0.002,0.016,0.669,3.208,0.204,0.069,0.049,0.132,0.018,0.005,0.771,0.029,0.01
Lodhika1,22.14166667,70.64166667,0.018,0.001,0.054,0.018,0.001,0.022,1.937,3.916,0.359,0.136,0.059,0.19,0.005,0.005,0.793,0.015,0.01
Masor,22.14166667,72.90833333,0.016,0.005,0.034,0.017,0.001,0.015,0.615,1.724,0.394,0.149,0.036,0.166,0.016,0.004,0.513,0.057,0.01
Sardhar1,22.14583333,70.98888889,0.015,0.003,0.074,0.015,0.001,0.015,1.699,4.35,0.47,0.144,0.049,0.293,0.005,0.001,0.612,0.025,0.01
Kamlapur,22.14583333,71.2,0.012,0.005,0.076,0.012,0.002,0.013,1.224,1.058,0.113,0.15,0.044,0.17,0.01,0.004,0.987,0.038,0.01
Vinjhalpur,22.15,69.6,0.009,0.004,0.071,0.011,0.001,0.012,0.841,3.564,0.317,0.104,0.021,0.287,0.008,0.001,0.554,0.06,0.01
Barvala,22.15,71.89166667,0.015,0.001,0.056,0.006,0.001,0.019,0.522,2.631,0.33,0.19,0.054,0.248,0.015,0.004,0.632,0.063,0.01
Salangpor,22.15833333,71.77083333,0.012,0.003,0.071,0.011,0.001,0.015,0.538,1.543,0.319,0.106,0.065,0.311,0.016,0.003,0.91,0.022,0.01
Sarod,22.15833333,72.75833333,0.016,0.002,0.019,0.018,0.002,0.027,1.643,3.936,0.478,0.103,0.04,0.223,0.007,0.004,0.771,0.066,0.01
Vega,22.15944444,73.4125,0.015,0.001,0.062,0.013,0.002,0.01,1.103,4.737,0.199,0.135,0.062,0.164,0.016,0.004,0.719,0.037,0.01
Juvanpur,22.17083333,69.36666667,0.013,0.005,0.028,0.006,0.001,0.017,0.583,2.456,0.195,0.165,0.055,0.221,0.014,0.006,0.998,0.027,0.01
Bhadla,22.18333333,71.09166667,0.018,0.005,0.048,0.006,0.001,0.026,1.236,3.745,0.164,0.085,0.014,0.106,0.019,0.006,0.93,0.029,0.01
Dahegam,22.18472222,72.59722222,0.008,0.001,0.041,0.02,0.001,0.01,0.858,3.893,0.361,0.177,0.019,0.364,0.013,0.003,0.706,0.01,0.01
Chavaria,22.1875,73.9875,0.012,0.004,0.024,0.013,0.001,0.018,0.772,1.924,0.185,0.154,0.063,0.269,0.01,0.006,0.73,0.022,0.01
Hanzdapur,22.19,69.44,0.015,0.004,0.012,0.02,0.001,0.012,1.242,4.671,0.111,0.134,0.023,0.396,0.018,0.003,0.528,0.064,0.01
Lalpur1,22.19166667,69.96111111,0.007,0.004,0.074,0.017,0.002,0.023,1.925,2.337,0.196,0.056,0.04,0.265,0.01,0.002,0.553,0.063,0.01
Nikava,22.19166667,70.53333333,0.013,0.002,0.043,0.013,0.001,0.023,1.736,2.112,0.317,0.185,0.07,0.31,0.005,0.004,0.675,0.013,0.01
Kavi,22.19361111,72.63944444,0.014,0.004,0.045,0.016,0.001,0.023,0.784,1.487,0.316,0.186,0.052,0.354,0.019,0.005,0.526,0.045,0.01
Bhindol,22.2,73.9,0.011,0.004,0.053,0.015,0.002,0.028,0.933,3.496,0.278,0.17,0.053,0.323,0.005,0.004,0.556,0.053,0.01
Panwad,22.2,74.04166667,0.017,0.003,0.072,0.018,0.002,0.012,0.873,1.474,0.22,0.054,0.028,0.197,0.015,0.003,0.765,0.064,0.01
Kuvadia,22.20138889,69.58333333,0.006,0.002,0.067,0.016,0.001,0.014,1.761,3.247,0.353,0.076,0.018,0.272,0.012,0.002,0.511,0.039,0.01
Asar,22.20361111,74.01055556,0.02,0.002,0.026,0.009,0.001,0.015,0.702,2.414,0.253,0.19,0.016,0.326,0.005,0.006,0.562,0.054,0.01
Vadtara,22.20833333,69.5,0.005,0.003,0.027,0.007,0.001,0.025,1.907,2.645,0.297,0.167,0.014,0.319,0.012,0.005,0.749,0.013,0.01
Vinchhia,22.20833333,71.37916667,0.011,0.002,0.015,0.009,0.001,0.013,1.107,1.9,0.393,0.051,0.033,0.189,0.007,0.003,0.877,0.068,0.01
Khambhaliya,22.20972222,69.64583333,0.017,0.003,0.02,0.015,0.001,0.023,0.972,4.792,0.481,0.062,0.018,0.396,0.017,0.005,0.644,0.028,0.01
Govindpura,22.21111111,73.74138889,0.014,0.004,0.012,0.011,0.001,0.011,1.828,2.738,0.165,0.13,0.048,0.221,0.016,0.001,0.858,0.069,0.01
Kalawad,22.21666667,70.38333333,0.018,0.001,0.076,0.013,0.001,0.02,1.373,3.631,0.116,0.06,0.02,0.341,0.008,0.007,0.693,0.044,0.01
Makni,22.225,73.67916667,0.009,0.004,0.033,0.016,0.001,0.011,1.913,4.99,0.154,0.19,0.018,0.367,0.018,0.006,0.946,0.064,0.01
Amreshwar,22.22777778,73.48333333,0.01,0.003,0.042,0.006,0.002,0.023,1.422,1.5,0.391,0.103,0.043,0.373,0.006,0.004,0.598,0.028,0.01
Tardhera,22.22916667,71.60416667,0.015,0.003,0.041,0.014,0.002,0.021,1.33,4.351,0.286,0.157,0.013,0.124,0.013,0.006,0.531,0.052,0.01
Vad panchasara,22.23333333,70.11666667,0.017,0.003,0.046,0.019,0.001,0.013,1.442,4.148,0.146,0.128,0.018,0.37,0.008,0.003,0.694,0.043,0.01
Amaliya Chokri,22.24027778,69.12527778,0.008,0.002,0.022,0.012,0.001,0.021,0.515,4.555,0.358,0.064,0.019,0.271,0.008,0.003,0.972,0.049,0.01
Khirsara1,22.24166667,70.64583333,0.012,0.004,0.025,0.009,0.002,0.024,0.906,3.275,0.495,0.118,0.026,0.322,0.007,0.002,0.552,0.066,0.01
Dwarka,22.24583333,68.95833333,0.009,0.002,0.042,0.02,0.001,0.022,0.898,2.402,0.305,0.058,0.027,0.111,0.015,0.006,0.853,0.014,0.01
Pindara1,22.24722222,69.25833333,0.015,0.001,0.013,0.019,0.001,0.017,1.443,1.928,0.244,0.157,0.036,0.383,0.018,0.001,0.663,0.015,0.01
Alladpur,22.25,73.71666667,0.008,0.001,0.018,0.014,0.001,0.018,0.723,3.078,0.203,0.127,0.03,0.203,0.014,0.005,0.571,0.025,0.01
Pitha,22.25416667,73.64166667,0.019,0.003,0.062,0.017,0.002,0.016,0.661,4.553,0.261,0.161,0.034,0.209,0.006,0.004,0.893,0.067,0.01
Paliyad2,22.25555556,71.56388889,0.01,0.003,0.033,0.007,0.001,0.019,1.147,2.343,0.271,0.177,0.034,0.267,0.016,0.002,0.754,0.013,0.01
Vadodara_ONGC,22.26916667,73.21277778,0.018,0.005,0.069,0.015,0.002,0.019,1.37,1.101,0.25,0.197,0.07,0.292,0.009,0.005,0.888,0.014,0.01
Kundali,22.26944444,71.7,0.02,0.005,0.057,0.012,0.001,0.019,1.409,4.929,0.474,0.053,0.064,0.396,0.013,0.002,0.738,0.033,0.01
Haripur2,22.27083333,70.33333333,0.015,0.004,0.049,0.01,0.002,0.011,0.754,3.187,0.479,0.15,0.048,0.234,0.006,0.005,0.807,0.01,0.01
Bodeli,22.27083333,73.71666667,0.013,0.005,0.034,0.017,0.001,0.03,1.56,3.439,0.358,0.195,0.047,0.116,0.007,0.002,0.975,0.05,0.01
Dali,22.275,72.76666667,0.008,0.003,0.015,0.012,0.001,0.012,1.495,4.426,0.401,0.134,0.044,0.157,0.01,0.003,0.568,0.047,0.01
Patiyapura,22.275,73.44166667,0.01,0.003,0.016,0.011,0.002,0.027,0.929,3.723,0.25,0.118,0.023,0.352,0.019,0.001,0.716,0.063,0.01
Saidal,22.28333333,73.50277778,0.012,0.002,0.059,0.007,0.002,0.014,1.867,4.516,0.381,0.147,0.032,0.384,0.018,0.002,0.994,0.038,0.01
Varwada,22.29166667,68.96666667,0.008,0.003,0.052,0.019,0.001,0.016,1.573,4.082,0.221,0.102,0.066,0.349,0.007,0.002,0.676,0.067,0.01
Suskal,22.29166667,73.77916667,0.007,0.005,0.053,0.007,0.001,0.027,1.556,4.556,0.205,0.063,0.026,0.209,0.018,0.002,0.959,0.032,0.01
Vadodara_Kevada Bag,22.29333333,73.19833333,0.019,0.004,0.045,0.013,0.001,0.022,1.462,1.315,0.295,0.068,0.05,0.185,0.015,0.002,0.507,0.033,0.01
Tagadi1,22.29583333,71.94722222,0.016,0.001,0.038,0.017,0.002,0.029,0.918,1.91,0.464,0.054,0.064,0.136,0.019,0.005,0.502,0.044,0.01
